Parm Code	Name
43559	Methyl Butyl Ketone
43560	Methyl Isobutyl Ketone
43563	3-Heptanone
43564	2-Methyl-3-Hexanone
43801	Chloromethane
43802	Dichloromethane
43803	Chloroform
43804	Carbon Tetrachloride
43811	Trichlorofluoromethane
43813	1,1-Dichloroethane
43814	Methyl Chloroform
43815	Ethylene Dichloride
43817	Tetrachloroethylene
43818	1,1,2,2-Tetrachloroethane
43819	Bromomethane
43820	1,1,2-Trichloroethane
43823	Dichlorodifluoromethane
43824	Trichloroethylene
43826	1,1-Dichloroethylene
43829	1,2-Dichloropropane
43830	trans-1,3-Dichloropropene
43831	cis-1,3-Dichloropropene
43835	Chloroprene
43843	Ethylene Dibromide
43860	Vinyl Chloride
43950	Heptanal
43954	n-Undecane
43960	2-Methylheptane
44201	Ozone
45109	m/p Xylene
45201	Benzene
45202	Toluene
45203	Ethylbenzene
45204	o-Xylene
45207	1,3,5-Trimethylbenzene
45208	1,2,4-Trimethylbenzene
45209	n-Propylbenzene
45210	Isopropylbenzene
45211	o-Ethyltoluene
45212	m-Ethyltoluene
45213	p-Ethyltoluene
45218	m-Diethylbenzene
45219	p-Diethylbenzene
45220	Styrene
45225	1,2,3-Trimethylbenzene
45501	Benzaldehyde
45503	2,5-Dimethylbenzaldehyde
45505	o-Tolualdehyde
45506	m & p-Tolualdehyde
45507	p-Tolualdehyde
45508	m-Tolualdehyde
45801	Chlorobenzene
45850	Naphthalene
61101	Wind Speed - Scalar
61102	Wind Direction - Scalar
61103	Wind Speed - Resultant
61104	Wind Direction - Resultant
61105	Peak Wind Gust
61106	Std Dev Hz Wind Direction
62101	Outdoor Temperature
62103	Dew Point
62106	Temperature Difference
62201	Relative Humidity (%RH)
63101	Visibility
63301	Solar Radiation
63302	Ultraviolet Radiation
63305	Net Radiation
64101	Barometric Pressure
65102	Rain/Melt Precipitation
65301	Volume (Precip)
68101	Sample Flow Rate- Cv
68102	Sample Volume
68103	Ambient Min Temperature
68104	Ambient Max Temperature
68105	Ambient Temperature
68106	Sample Min Baro Pressure
68107	Sample Max Baro Pressure
68108	Sample Baro Pressure
68109	Elapsed Sample Time
68111	Sample Flow Rate CV - Teflon Filter
68112	Sample Flow Rate CV - Nylon Filter
68113	Sample Flow Rate CV - Quartz Filter
68114	Sample Volume - Teflon Filter
68115	Sample Volume - Nylon Filter
68116	Sample Volume - Quartz Filter
68117	Average Ambient Temperature for URG3000N
68118	Average Ambient Pressure for URG3000N
81102	Pm10 Total 0-10um Stp
82101	Aluminum Pm10 Stp
82102	Antimony Pm10 Stp
82103	Arsenic Pm10 Stp
82105	Beryllium Pm10 Stp
82107	Barium Pm10 Stp
82110	Cadmium Pm10 Stp
82111	Calcium Pm10 Stp
82112	Chromium Pm10 Stp
82113	Cobalt Pm10 Stp
82114	Copper Pm10 Stp
82126	Iron Pm10 Stp
82128	Lead Pm10 Stp
82132	Manganese Pm10 Stp
82134	Molybdenum Pm10 Stp
82136	Nickel Pm10 Stp
82140	Magnesium Pm10 Stp
82154	Selenium Pm10 Stp
82160	Tin Pm10 Stp
82164	Vanadium Pm10 Stp
82166	Silver Pm10 Stp
82167	Zinc Pm10 Stp
82173	Thallium Pm10 Stp
82180	Potassium Pm10 Stp
82184	Sodium Pm10 Stp
85101	Pm10 - Lc
86101	Pm10-2.5 - Local Conditions
88101	Pm2.5 - Local Conditions
88102	Antimony Pm2.5 Lc
88103	Arsenic Pm2.5 Lc
88104	Aluminum Pm2.5 Lc
88107	Barium Pm2.5 Lc
88109	Bromine Pm2.5 Lc
88110	Cadmium Pm2.5 Lc
88111	Calcium Pm2.5 Lc
88112	Chromium Pm2.5 Lc
88113	Cobalt Pm2.5 Lc
88114	Copper Pm2.5 Lc
88115	Chlorine Pm2.5 Lc
88117	Cerium Pm2.5 Lc
88118	Cesium Pm2.5 Lc
88121	Europium Pm2.5 Lc
88124	Gallium Pm2.5 Lc
88126	Iron Pm2.5 Lc
88127	Hafnium Pm2.5 Lc
88128	Lead Pm2.5 Lc
88131	Indium Pm2.5 Lc
88132	Manganese Pm2.5 Lc
88133	Iridium Pm2.5 Lc
88134	Molybdenum Pm2.5 Lc
88136	Nickel Pm2.5 Lc
88140	Magnesium Pm2.5 Lc
88142	Mercury Pm2.5 Lc
88143	Gold Pm2.5 Lc
88146	Lanthanum Pm2.5 Lc
88147	Niobium Pm2.5 Lc
88152	Phosphorus Pm2.5 Lc
88154	Selenium Pm2.5 Lc
88160	Tin Pm2.5 Lc
88161	Titanium Pm2.5 Lc
88162	Samarium Pm2.5 Lc
88163	Scandium Pm2.5 Lc
88164	Vanadium Pm2.5 Lc
88165	Silicon Pm2.5 Lc
88166	Silver Pm2.5 Lc
88167	Zinc Pm2.5 Lc
88168	Strontium Pm2.5 Lc
88169	Sulfur Pm2.5 Lc
88170	Tantalum Pm2.5 Lc
88172	Terbium Pm2.5 Lc
88176	Rubidium Pm2.5 Lc
88180	Potassium Pm2.5 Lc
88183	Yttrium Pm2.5 Lc
88184	Sodium Pm2.5 Lc
88185	Zirconium Pm2.5 Lc
88186	Tungsten Pm2.5 Lc
88203	Chloride Pm2.5 Lc
88301	Ammonium Ion Pm2.5 Lc
88302	Sodium Ion Pm2.5 Lc
88303	Potassium Ion Pm2.5 Lc
88304	Ocx Carbon Pm2.5 Lc
88305	Oc Csn Unadjusted Pm2.5 Lc Tot
88306	Total Nitrate Pm2.5 Lc
88307	EC Csn Pm2.5 Lc Tot
88308	Carbonate Carbon Csn Pm2.5 Lc Tot
88309	Volatile Nitrate Pm2.5 Lc
88310	Non-Volatile Nitrate Pm2.5 Lc
88311	Ocx2 Carbon Pm2.5 Lc
88312	Total Carbon Pm2.5 Lc
88313	Black Carbon Pm2.5 Lc
88316	Optical Ec Pm2.5 Lc Tot
88320	Oc Pm2.5 Lc Tor
88321	EC Pm2.5 Lc Tor
88322	Och Pm2.5 Lc Tot
88323	EH Improve Pm2.5 Lc
88324	Oc1 Pm2.5 Lc
88325	Oc2 Pm2.5 Lc
88326	Oc3 Pm2.5 Lc
88327	Oc4 Pm2.5 Lc
88328	Op Pm2.5 Lc Tor
88329	EC1 Pm2.5 Lc
88330	EC2 Pm2.5 Lc
88331	EC3 Pm2.5 Lc
88332	Oc1 Csn Unadjusted Pm2.5 Lc Tot
88333	Oc2 Csn Unadjusted Pm2.5 Lc Tot
88334	Oc3 Csn Unadjusted Pm2.5 Lc Tot
88335	Oc4 Csn Unadjusted Pm2.5 Lc Tot
88336	Op Csn Pm2.5 Lc Tot
88355	Oc Csn_Rev Unadjusted Pm2.5 Lc Tot
88357	EC Csn_Rev Unadjusted Pm2.5 Lc Tot
88370	Oc Csn_Rev Unadjusted Pm2.5 Lc Tor
88374	Oc1 Csn_Rev Unadjusted Pm2.5 Lc
88375	Oc2 Csn_Rev Unadjusted Pm2.5 Lc
88376	Oc3 Csn_Rev Unadjusted Pm2.5 Lc
88377	Oc4 Csn_Rev Unadjusted Pm2.5 Lc
88378	Op Csn_Rev Unadjusted Pm2.5 Lc Tor
88379	Op Pm2.5 Lc Tot
88380	EC Csn_Rev Unadjusted Pm2.5 Lc Tor
88382	Oc Pm2.5 Lc Tot
88383	EC1 Csn_Rev Unadjusted Pm2.5 Lc
88384	EC2 Csn_Rev Unadjusted Pm2.5 Lc
88385	EC3 Csn_Rev Unadjusted Pm2.5 Lc
88388	Op Csn_Rev Unadjusted Pm2.5 Lc Tot
88403	Sulfate Pm2.5 Lc
88502	Acceptable Pm2.5 Aqi & Speciation Mass

